date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210227,HI,28270,767.0,,,totalTestEncountersViral,1107517,30.0,2214.0,3.0,,3.0,,,2/25/2021 14:30,2021-02-25T14:30:00Z,02/25 09:30,439,2214.0,,2021-02-25T14:30:00Z,,27366.0,,27503.0,439.0,,1107517.0,,,,,,,,,,,,15,104,0,28270,22034,28270,,2,0,98d282cfc3afeb2ee89ea4e944897d997c8c6493,0,0,0,0,0,
20210227,IA,279744,,1032263.0,,posNeg,1312007,181.0,,43.0,,18.0,,314750.0,2/27/2021 00:00,2021-02-27T00:00:00Z,02/26 19:00,5470,,,2021-02-27T00:00:00Z,2701416.0,303407.0,2383385.0,279744.0,,,,1314393.0,,,,111913.0,18534.0,93328.0,241787.0,56264.0,1342398.0,59727.0,19,315,1273,1312007,1588,1312007,,7,0,81df8a67073b75bc001fa0833895e6d9b9bc6504,0,0,0,0,0,
20210227,ID,170907,32255.0,499231.0,,totalTestsPeopleViral,637883,162.0,7065.0,35.0,1229.0,,,93975.0,2/26/2021 19:53,2021-02-26T19:53:00Z,02/26 14:53,1859,7065.0,,2021-02-26T19:53:00Z,1080708.0,,,138652.0,1633.0,226.0,,637883.0,,,,,,,,,123809.0,,16,312,1131,670138,1350,670138,,9,8,48774a6afb3710b2b893aabc1a8d789ee76de3d3,0,0,0,0,0,
20210227,IL,1185447,,16884306.0,,posNeg,18069753,1353.0,,312.0,,160.0,,,2/27/2021 00:00,2021-02-27T00:00:00Z,02/26 19:00,22710,,,2021-02-27T00:00:00Z,18069753.0,,,,20494.0,2216.0,,,,,,,,,,,,,17,1780,79888,18069753,81668,18069753,,35,0,076b5b0b8e8fdbb1db1c1f77a797e5cf73723a7a,0,0,0,0,0,
20210227,IN,660942,,2451232.0,,totalTestsViral,7989954,800.0,42736.0,138.0,7497.0,73.0,,,2/26/2021 23:59,2021-02-26T23:59:00Z,02/26 18:59,12556,42736.0,431515.0,2021-02-26T23:59:00Z,7989954.0,752905.0,,,12125.0,431.0,,3112174.0,,,,,,,,,,,18,871,4877,3112174,47002,3112174,,25,28,b7f6773bb40636de626ecd84c542e8e045a1f3ba,0,0,0,0,0,
20210227,KS,293663,,960800.0,,posNeg,1254463,258.0,9249.0,63.0,2510.0,29.0,411.0,,2/26/2021 10:00,2021-02-26T10:00:00Z,02/26 05:00,4735,9249.0,6343.0,2021-02-26T10:00:00Z,2468690.0,,,,,,,1254463.0,,,,,,,,,580453.0,,20,0,0,1254463,0,1254463,,0,0,da84a730f15e829258f0238ca7a645682b87d261,0,0,0,0,0,
20210227,KY,403947,93918.0,,,totalTestsViral,3904567,765.0,19090.0,209.0,3968.0,87.0,,47525.0,2/27/2021 00:00,2021-02-27T00:00:00Z,02/26 19:00,4625,19090.0,,2021-02-27T00:00:00Z,3904567.0,249554.0,,310029.0,4199.0,426.0,,,111128.0,9607.0,,,,,,,482091.0,36671.0,21,1021,0,403947,12866,403947,,25,109,1f87c970e48897d9a3ce12cd1ca95f4f4c97a3c9,0,0,0,0,0,
20210227,LA,428592,59690.0,5116086.0,,posNeg,5544678,651.0,,,,95.0,,408463.0,2/26/2021 13:00,2021-02-26T13:00:00Z,02/26 08:00,9587,,,2021-02-26T13:00:00Z,5484988.0,,,368902.0,8906.0,681.0,,,,,,,,,,,446071.0,,22,0,0,5544678,0,5544678,,0,0,997f86fadc2da6c2382fe9e1eb7092db8f858a9f,0,0,0,0,0,
20210227,MA,579680,30806.0,4340080.0,,totalTestsViral,16105520,785.0,19444.0,204.0,,139.0,,494740.0,2/26/2021 23:59,2021-02-26T23:59:00Z,02/26 18:59,16067,19444.0,,2021-02-26T23:59:00Z,16105520.0,656217.0,,548874.0,15744.0,323.0,,4888954.0,,,,154697.0,15162.0,,557826.0,,,,25,1700,8439,4919760,108261,4919760,,43,0,51b32ac009f7d6432f4739c423034170afa656e7,0,0,0,0,0,
20210227,MD,381272,,2993098.0,,totalTestsViral,7848245,892.0,34927.0,222.0,,,,9659.0,2/27/2021 10:00,2021-02-27T10:00:00Z,02/27 05:00,7856,34927.0,,2021-02-27T10:00:00Z,7848245.0,465175.0,,381272.0,7674.0,182.0,,3374370.0,,,,195908.0,27357.0,168551.0,,,,,24,836,6547,3374370,44150,3374370,,18,79,5739f3bcdfadd3f68f438e7ba043d3de894e8cb7,0,0,0,0,0,
