date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210211,HI,27370,695.0,,,totalTestEncountersViral,1017996,49.0,2147.0,14.0,,12.0,,,B,2/9/2021 14:30,2021-02-09T14:30:00Z,02/09 09:30,424,2147.0,2021-02-09T14:30:00Z,,26227.0,,26675.0,424.0,,1017996.0,,,,,,,,,,,,15,91,0,27370,5184,27370,1,8,8fa382ea26a746ed32b9d24f78a67f53af0f90d6,0,0,0,0,0,
20210211,IA,273417,,1002265.0,,posNeg,1275682,273.0,,64.0,,26.0,,299106.0,A+,2/11/2021 00:00,2021-02-11T00:00:00Z,02/10 19:00,5196,,2021-02-11T00:00:00Z,2577469.0,296332.0,2267439.0,273417.0,,,,1278044.0,,,,105528.0,15820.0,89660.0,227836.0,54009.0,1222971.0,57368.0,19,593,1762,1275682,2355,1275682,22,0,7f83f01445c09c300ad62539fde64dd635b38ee2,0,0,0,0,0,
20210211,ID,166553,31090.0,482760.0,,totalTestsPeopleViral,618223,176.0,6838.0,37.0,1199.0,,,88126.0,A,2/10/2021 19:00,2021-02-10T19:00:00Z,02/10 14:00,1791,6838.0,2021-02-10T19:00:00Z,1022527.0,,,135463.0,1577.0,214.0,,618223.0,,,,,,,,,78973.0,,16,458,1021,649313,1366,649313,11,-1,76eb8df8ebe9927cfe59dd3c63023b96f5fdaf26,0,0,0,0,0,
20210211,IL,1155833,,15763077.0,,posNeg,16918910,1954.0,,448.0,,227.0,,,A,2/11/2021 00:00,2021-02-11T00:00:00Z,02/10 19:00,21985,,2021-02-11T00:00:00Z,16918910.0,,,,19841.0,2144.0,,,,,,,,,,,,,17,2838,93687,16918910,96525,16918910,116,0,b18da035189acbbe5a43297d97631b32a1b12a7a,0,0,0,0,0,
20210211,IN,645006,,2384937.0,,totalTestsViral,7425081,1226.0,41378.0,239.0,7240.0,118.0,,420225.0,A+,2/10/2021 23:59,2021-02-10T23:59:00Z,02/10 18:59,12027,41378.0,2021-02-10T23:59:00Z,7425081.0,734071.0,,,11604.0,423.0,,3029943.0,,,,,,,,,,,18,1701,6629,3029943,57871,3029943,26,86,9863380fb19d8d7b588eeb0712633d5a0aaea820,0,0,0,0,0,
20210211,KS,284894,,926599.0,,posNeg,1211493,377.0,8840.0,98.0,2401.0,41.0,411.0,6018.0,A+,2/10/2021 10:00,2021-02-10T10:00:00Z,02/10 05:00,4303,8840.0,2021-02-10T10:00:00Z,2325356.0,,,,,,,1211493.0,,,,,,,,,,,20,0,0,1211493,0,1211493,0,0,c1469f39ccb8710c5a3add346d6f6f747ba4919a,0,0,0,0,0,
20210211,KY,384903,86961.0,,,totalTestsViral,3725585,1142.0,17824.0,278.0,3751.0,156.0,,45451.0,A+,2/11/2021 00:00,2021-02-11T00:00:00Z,02/10 19:00,4211,17824.0,2021-02-11T00:00:00Z,3725585.0,237278.0,,297942.0,3830.0,381.0,,,109575.0,8933.0,,,,,,,417147.0,33878.0,21,1871,0,384903,11945,384903,36,109,6682f076b881d556c3a641bb8dbae2b64fd195ab,0,0,0,0,0,
20210211,LA,417415,56377.0,4859747.0,,posNeg,5277162,1052.0,,,,151.0,,380673.0,A,2/11/2021 13:00,2021-02-11T13:00:00Z,02/11 08:00,9239,,2021-02-11T13:00:00Z,5220785.0,,,361038.0,8617.0,622.0,,,,,,,,,,,409399.0,,22,2728,39044,5277162,41772,5277162,27,0,98d7ca3ae76931a28654635b6f57cc53b73df7f6,0,0,0,0,0,
20210211,MA,551396,28138.0,4198141.0,,totalTestsViral,14631637,1313.0,18859.0,304.0,,185.0,,453740.0,A+,2/10/2021 23:59,2021-02-10T23:59:00Z,02/10 18:59,15269,18859.0,2021-02-10T23:59:00Z,14631637.0,626284.0,,523258.0,14964.0,305.0,,4721399.0,,,,151476.0,14572.0,,509874.0,,,,25,2450,10634,4749537,110792,4749537,62,0,e3624546018fb4c16b975f8411de4c9721a46854,0,0,0,0,0,
20210211,MD,367865,,2905931.0,,totalTestsViral,7344008,1272.0,33508.0,324.0,,,,9554.0,A,2/11/2021 10:00,2021-02-11T10:00:00Z,02/11 05:00,7467,33508.0,2021-02-11T10:00:00Z,7344008.0,448364.0,,367865.0,7288.0,179.0,,3273796.0,,,,191877.0,25610.0,166267.0,,,,,24,1199,7395,3273796,39191,3273796,21,110,5007573e7cfc23eaec6291ba65653b44c23daaf6,0,0,0,0,0,
