Country_Region,Confirmed,Deaths,Recovered,Active,Last_Update,Lat,Long
Guatemala,627562,16106,0.0,611456.0,2021-12-31 04:21:50,15.7835,-90.2308
Guinea,31641,391,0.0,31250.0,2021-12-31 04:21:50,9.9456,-9.6966
Guinea-Bissau,6476,149,0.0,6327.0,2021-12-31 04:21:50,11.8037,-15.1804
Guyana,39395,1052,0.0,38343.0,2021-12-31 04:21:50,4.860416000000002,-58.93018000000001
Haiti,25985,766,0.0,25219.0,2021-12-31 04:21:50,18.9712,-72.2852
Holy See,27,0,0.0,27.0,2021-12-31 04:21:50,41.9029,12.4534
Honduras,379402,10433,0.0,368969.0,2021-12-31 04:21:50,15.2,-86.2419
Hungary,1253055,39104,0.0,1213951.0,2021-12-31 04:21:50,47.1625,19.5033
Iceland,27059,37,0.0,27022.0,2021-12-31 04:21:50,64.9631,-19.0208
India,34822040,480860,0.0,34341180.0,2021-12-31 04:21:50,23.088274505555557,81.80612685
Indonesia,4262540,144088,0.0,4118452.0,2021-12-31 04:21:50,-0.7893,113.9213
Iran,6192698,131572,0.0,6061126.0,2021-12-31 04:21:50,32.427908,53.68804599999999
Iraq,2093436,24154,0.0,2069282.0,2021-12-31 04:21:50,33.223191,43.679291
Ireland,768449,5912,0.0,762537.0,2021-12-31 04:21:50,53.1424,-7.6921
Israel,1380046,8243,0.0,1371803.0,2021-12-31 04:21:50,31.046051,34.851612
Italy,5981428,137247,0.0,5844181.0,2021-12-31 04:21:50,43.04629272047619,12.225955484238094
Jamaica,93591,2470,0.0,91121.0,2021-12-31 04:21:50,18.1096,-77.2975
Japan,1731878,18389,0.0,1713489.0,2021-12-31 04:21:50,35.344168829787236,136.00117374468084
Jordan,1047953,12372,0.0,1035581.0,2021-12-31 04:21:50,31.24,36.51
Kazakhstan,1072037,18211,0.0,1053826.0,2021-12-31 04:21:50,48.0196,66.9237
Kenya,292237,5376,0.0,286861.0,2021-12-31 04:21:50,-0.0236,37.9062
Kiribati,2,0,0.0,2.0,2021-12-31 04:21:50,-3.3704,-168.734
"Korea, South",630838,5563,0.0,625275.0,2021-12-31 04:21:50,35.90775700000001,127.766922
Kosovo,161442,2990,0.0,158452.0,2021-12-31 04:21:50,42.602636,20.902977
Kuwait,416631,2468,0.0,414163.0,2021-12-31 04:21:50,29.31166,47.481766
Kyrgyzstan,184633,2800,0.0,181833.0,2021-12-31 04:21:50,41.20438,74.766098
Laos,110054,360,0.0,109694.0,2021-12-31 04:21:50,19.85627,102.495496
Latvia,275517,4561,0.0,270956.0,2021-12-31 04:21:50,56.8796,24.6032
Lebanon,723640,9102,0.0,714538.0,2021-12-31 04:21:50,33.8547,35.8623
Lesotho,28408,665,0.0,27743.0,2021-12-31 04:21:50,-29.61,28.2336
