Country_Region,Confirmed,Deaths,Recovered,Active,Last_Update,Lat,Long
Honduras,158355,3838,62991,91526,2021-02-12 05:23:29,15.2,-86.2419
Hungary,381875,13444,287134,81297,2021-02-12 05:23:29,47.1625,19.5033
Iceland,6026,29,5976,21,2021-02-12 05:23:29,64.9631,-19.0208
India,10880603,155447,10589230,135926,2021-02-12 05:23:29,23.088274505555557,81.80612685
Indonesia,1191990,32381,993117,166492,2021-02-12 05:23:29,-0.7893,113.9213
Iran,1496455,58751,1278857,158847,2021-02-12 05:23:29,32.427908,53.68804599999999
Iraq,636908,13144,603814,19950,2021-02-12 05:23:29,33.223191,43.679291
Ireland,206801,3846,23364,179591,2021-02-12 05:23:29,53.1424,-7.6921
Israel,714812,5283,644703,64826,2021-02-12 05:23:29,31.046051000000002,34.851612
Italy,2683403,92729,2185655,405019,2021-02-12 05:23:29,43.04629272047619,12.225955484238094
Jamaica,18237,363,12456,5418,2021-02-12 05:23:29,18.1096,-77.2975
Japan,412125,6800,375298,30027,2021-02-12 05:23:29,35.34416882978724,136.00117374468084
Jordan,341984,4421,324070,13493,2021-02-12 05:23:29,31.24,36.51
Kazakhstan,248566,3132,220497,24937,2021-02-12 05:23:29,48.0196,66.9237
Kenya,102353,1794,84790,15769,2021-02-12 05:23:29,-0.0236,37.9062
"Korea, South",82837,1507,72936,8394,2021-02-12 05:23:29,35.90775700000001,127.766922
Kosovo,63089,1532,54663,6894,2021-02-12 05:23:29,42.602636,20.902977
Kuwait,175031,985,163895,10151,2021-02-12 05:23:29,29.311659999999996,47.481766
Kyrgyzstan,85328,1437,82098,1793,2021-02-12 05:23:29,41.20438,74.766098
Laos,45,0,41,4,2021-02-12 05:23:29,19.856270000000002,102.495496
Latvia,74701,1416,62844,10441,2021-02-12 05:23:29,56.8796,24.6032
Lebanon,331159,3866,222078,105215,2021-02-12 05:23:29,33.8547,35.8623
Lesotho,9819,212,2896,6711,2021-02-12 05:23:29,-29.61,28.2336
Liberia,1956,84,1770,102,2021-02-12 05:23:29,6.4280550000000005,-9.429499
Libya,126361,2009,108434,15918,2021-02-12 05:23:29,26.3351,17.228331
Liechtenstein,2534,52,2457,25,2021-02-12 05:23:29,47.14,9.55
Lithuania,187991,2988,142313,42690,2021-02-12 05:23:29,55.1694,23.8813
Luxembourg,52392,604,49166,2622,2021-02-12 05:23:29,49.8153,6.1296
MS Zaandam,9,2,7,0,2021-02-12 05:23:29,,
Madagascar,19360,285,18490,585,2021-02-12 05:23:29,-18.766947000000002,46.869107
Malawi,28270,914,12879,14477,2021-02-12 05:23:29,-13.2543,34.3015
Malaysia,254988,936,202269,51783,2021-02-12 05:23:29,4.210483999999999,101.97576600000001
Maldives,17387,56,15081,2250,2021-02-12 05:23:29,3.2028,73.2207
Mali,8218,340,6110,1768,2021-02-12 05:23:29,17.570692,-3.996166000000001
