,Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Diamond Princess,District of Columbia,Florida,Georgia,Grand Princess,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-04-25,0.0,0.0,,0.03986765922249802,0.035943060498220714,0.024495224277596428,0.05809399477806787,0.027030414438502737,0.03893085415456121,0.0,0.04846938775510212,0.010021943470998496,0.03250188964474687,0.0,0.0,0.006655574043261225,0.009090909090909038,0.053431842251248085,0.05248154374680203,0.14555680539932503,0.059479553903345694,0.035988356708123836,0.014231063504208219,0.0,0.069210399614829,0.04709864603481617,0.011974954343856092,0.08194662480376769,0.05226352594773642,0.02376494310816657,0.0022522522522523403,0.12169966996699677,0.03206002728512969,0.04476744186046511,0.032310462249011795,0.05513685045616823,0.03885636437276774,0.05765983112183348,0.07352941176470584,0.0,0.027556200145032683,0.02338993912207621,0.03491042719338533,0.023502785515320257,0.024294670846394917,0.06418868487833995,0.03609467455621296,0.0524509803921569,0.052818515123739695,0.02161407664326198,0.04389212057112646,0.0193470374848852,0.0185185185185186,0.06658616525789207,0.026354319180087904,0.0,0.06179985063480209,0.038054968287526414
2020-04-26,0.06554928642548963,0.002949852507374562,,0.039452752147629555,0.03091721058055641,0.02811083836857997,0.03647439851943246,0.027905463124923813,0.12807606263982096,0.0,0.03838875371722095,0.022471545769966683,0.011368529842390895,0.0,0.0,0.0016528925619834212,0.005299417064122958,0.05088924527850258,0.04257240086117098,0.07541241162608014,0.04529505582137161,0.04342273307790556,0.009844598672299254,0.051813471502590636,0.04587414161882242,0.029888242357070327,0.01936115909149505,0.04526987811955885,0.033753060510668176,0.023494653911086072,0.006741573033707926,0.11438028687017288,0.04296100462656982,0.037284362826933704,0.03355513848603775,0.024812030075187952,0.02091847042102768,0.026117700729926918,0.0797011207970113,0.0,0.02470007057163026,0.01878522229179702,0.025743453173546316,0.03555026365028069,0.04896710022953332,0.043484359657736116,0.04664001522939265,0.030274802049371274,0.05201871803243008,0.03370181757959667,0.04432624113475181,0.009489916963226541,0.036363636363636376,0.048843603428756266,0.015166303776559698,0.044554455445544594,0.039563917707051255,0.022403258655804503
2020-04-27,0.018377199813113254,0.014705882352941124,,0.029231711049892972,0.02265911362879036,0.03243876122041378,0.03258686109664466,0.028810004353160057,0.03173029251363402,0.0,0.013277792241603859,0.019218571609793234,0.03474410286979479,0.0,0.0,0.0016501650165017256,0.0,0.04509942372958564,0.06321609379163329,0.07158509861212559,0.059810802563320165,0.017380660954712468,0.011018563478131016,0.007881773399014858,0.04875948549593678,0.027657704518142534,0.012493677288821337,0.058023320377567966,0.030959228556927787,0.02323024054982814,0.0022321428571427937,0.10825082508250827,-0.007182087029995787,0.03969957081545061,0.019717896513142152,0.03631694790902418,0.013716606780190599,0.036012004001333864,0.08650519031141868,0.0,0.022101177059854704,0.008297480024585191,0.01860666378191267,0.02210437394405851,0.013129102844638973,0.03616077429762066,0.020916696980720184,0.014466546112115841,0.02596462190958926,0.01782352705571344,0.027407227746786278,0.004700352526439522,0.0,0.04379336931380107,0.012203239405369493,0.007582938388625671,0.028585926928281546,0.03585657370517925
2020-04-28,0.03226793087628077,0.017391304347825987,,0.03420074349442381,0.01889866405995444,0.026505381126034067,0.031486418329850885,0.012116782705696716,0.09923113887554069,0.0,0.026207605344295892,0.022092227269898457,0.025512303514114043,0.0,0.0,0.0032948929159801743,0.028993147074327874,0.048362138482662465,0.03928325292901458,0.08657123381049758,0.05154045493809378,0.05269489894128965,0.00805379045367216,0.016617790811339184,0.032123980089290294,0.03312679989527889,0.02827596542938493,0.09708737864077666,0.040695766327535354,0.01974744760881242,0.00445434298440972,0.04734961286480055,0.02574468085106374,0.037151702786377694,0.02399539518653082,0.05274336283185832,0.010650830833299096,0.04656152773307576,0.052016985138004346,0.0,0.027197549770290985,0.03931728131667178,0.013169073916737384,0.03625051655264255,0.007919366450684029,0.02841203943954329,0.02173525743809024,0.03074866310160429,0.013510788465416423,0.037187155674484496,0.025731822474032162,0.008187134502924076,0.0,0.059166789776924134,0.01139850942569054,0.03010348071495761,0.03420490050978464,0.03076923076923066
2020-04-29,0.02400000000000002,0.01139601139601143,,0.03652048885693748,0.021106491845219066,0.05595269040811024,0.030874545962559452,0.017292490118577142,0.017486338797814138,0.0,0.028042063094641856,0.010502922552362293,0.03422678757724107,0.0,0.0,0.006568144499178974,0.0,0.04690033678433325,0.035809018567639184,0.0732434127979924,0.051204819277108404,0.03702857142857141,0.013706662757458021,0.01538461538461533,0.03659324814796405,0.033922930076191404,0.02946606422776088,0.11073905764171244,0.03579312519709865,0.02239494137794762,0.0,0.09496730167756606,0.02343912051441599,0.023880597014925398,0.022036607644744244,0.08036314727639549,0.01553679017031162,0.04356740133264991,0.04238143289606455,0.0,0.0318444749239668,0.018475073313783064,0.025576519916142626,0.02636418016261599,0.023571428571428577,0.04036836129683352,0.02563208369659975,0.025940337224383825,0.031237564663748607,0.038395872064347136,0.03498273878020708,0.0,0.0,0.04344793918683321,0.016471608149111416,0.013698630136986356,0.036730799809190584,0.01679104477611948
2020-04-30,0.02546296296296302,0.0,,0.06186711055624916,0.027560288130284993,0.028370976675487825,0.03564168586529348,0.034856352971943005,0.01697099892588616,0.0,0.0528494885533366,0.014973036483596047,0.018971871968962217,0.0,0.028368794326241176,0.00815660685154973,0.016393442622950838,0.05083601413876648,0.03800488883715514,0.04413269034049394,0.14951810367283147,0.037690103592682433,0.012328271872740437,0.03693181818181812,0.042831790493548905,0.032842600611101114,0.02593265532457112,0.10594315245478025,0.037448622316943236,0.025125628140703515,0.0044345898004434225,0.1116593092703193,0.024118362383461767,0.04275996112730818,0.019653675933485104,0.06162464985994398,0.015619421337310868,0.05638506876227889,0.03291384317521784,0.0,0.041842455065595585,0.041750647854880585,0.026165167620605168,0.03548686511105825,0.07397069085833907,0.045349824178489095,0.03621217273036392,0.032026970080067496,0.035597144510901124,0.0496181811538603,0.03891483211029567,0.004640371229698292,0.1578947368421053,0.05914984627723574,0.018265813788201912,0.013513513513513598,0.05122699386503071,0.025688073394495303
2020-05-01,0.029063205417607207,0.025352112676056304,,0.04101894186805999,0.017067967083206348,0.03782166367444639,0.03330280031405386,0.038411552346570454,0.038867765103506535,0.0,0.07749248207263482,0.03081032947462159,0.04664179104477606,0.0,0.0,0.0016181229773462036,0.015625,0.05928039608450808,0.04457527333894018,0.1034289713086074,0.050079311126217885,0.03695836873406977,0.025356237277240012,0.025570776255707806,0.0795694968264189,0.0344402081916122,0.024058144348866106,0.11565420560747675,0.05825385179750553,0.02941176470588225,0.0,0.16982013548236385,0.038590936077577576,0.07642124883504198,0.021390284192428277,0.029903254177660488,0.012951257014442774,0.029384415101357586,0.03748828491096523,0.0,0.039718200477062204,0.03593145384190155,0.02749003984063747,0.033520251818807134,0.023391812865497075,0.03955457603526269,0.02674323215750607,0.03103307472437722,0.10768514205868662,0.033592091064155616,0.03339041095890405,0.01501154734411081,0.0,0.06657411497444321,0.021637467718294223,0.02400000000000002,0.06711409395973145,0.012522361359570633
2020-05-02,0.04346037839319994,0.0027472527472527375,,0.04956707240557168,0.010488462691039757,0.025391150578556898,0.02735389096435137,0.018182450285078477,0.024400162667751024,0.0,0.029841133533705433,0.02116447823082246,0.03063043399177845,0.0,0.0,0.001615508885298933,0.022828784119106604,0.04370707341004376,0.03569511540526027,0.09627092846270924,0.05416486836426415,-0.0006145022531749422,0.01494200828950576,0.026714158504007157,0.042646557600545254,0.0313513182847005,0.020213817267091816,0.08760907504363002,0.03175263449805876,0.031623931623931734,0.004415011037527616,0.06170127795527147,0.026867378048780477,0.051515151515151514,0.020851555408862188,0.06233988044406491,0.015124191570931034,0.0467931345980126,0.04155374887082197,0.0,0.031585125113375634,0.02748132337246534,0.021713842574641262,0.018455394421025062,0.11555555555555563,0.03648739120731981,0.03691275167785224,0.024950495049504973,0.06475485661424596,0.04125690421662398,0.03251864125932058,0.007963594994311762,0.0,0.04946160217725715,0.02500512400081978,0.02864583333333326,0.04730653541153962,0.0229681978798586
2020-05-03,0.036394691893312237,0.008219178082191858,,0.03299856527977041,0.019276393831553884,0.029167525821508278,0.025269645608628766,0.0,0.03374354902739185,0.0,0.04565353345841161,0.01734201844175609,0.011789206169919852,0.0,0.0,0.0,0.0,0.0511751132381848,0.03306556102617253,0.06155270160823778,0.05547594677584433,0.05144496823119482,0.006863417982155173,0.027753686036426695,0.04041188248273597,0.02787745781310247,0.01371521662557229,0.06915917843388963,0.014648568740760703,0.031127944135400654,0.0,0.06469813804777136,0.01540174429393204,0.036640592836558294,0.024467130628773814,0.03161843515541274,0.010984832751288476,0.015705902657922044,0.03295750216825666,0.0,0.02994569433669514,0.03142041028304332,0.017077798861480087,0.014476967560502318,0.02902675014228806,0.02023899235655069,0.02111265218061331,0.016615146831530092,0.04075507463865424,0.034964582592101445,0.03811434302908734,0.01241534988713311,0.0,0.052655316270154406,0.012130907151902903,0.00843881856540074,0.03968668407310716,0.012089810017271052
2020-05-04,0.028397565922920975,0.005434782608695565,,0.03287037037037033,0.015711376200174598,0.017867876072345856,0.01701232341448744,0.02342336190118477,0.015360983102918668,0.0,0.030701754385964897,0.022700814901047695,0.02742019884877034,0.0,0.0,0.001612903225806539,0.02183406113537112,0.037041252703295946,0.02879646816836412,0.057547683923705684,0.044026377036462394,0.022417153996101336,0.011349693251533788,0.016877637130801704,0.03715340507422815,0.015436106061917476,0.0065367993571785465,0.08569713342338292,0.04331125827814564,0.03282828282828287,0.00439560439560438,0.06641936053700759,0.028874269005847886,0.02779984114376499,0.012032127753581978,0.04701298701298695,0.008021111514940893,0.017077315208156252,0.028547439126784147,0.0,0.028120919955809898,0.01812688821752273,0.02947761194029841,0.03105905319668123,0.01935840707964598,0.018465759206499843,0.019770600664050786,0.014063093880653854,0.029900584351521653,0.02453278329895614,0.027439613526569984,0.00557413600891854,0.0,0.04396958011996577,0.01824168587421804,0.024267782426778295,0.03415369161225512,0.017064846416382284
